#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 18 00 301  1.9 99.0 99.00 99.00 99.00 999 1020.0  23.7  23.6  19.3 99.0 99.00
2012 01 03 19 00 275  1.2 99.0 99.00 99.00 99.00 999 1021.0  24.1  23.7  19.3 99.0 99.00
2012 01 03 20 00 266  0.8 99.0 99.00 99.00 99.00 999 1021.0  24.2  23.8  19.4 99.0 99.00
2012 01 03 21 00 289  1.2 99.0 99.00 99.00 99.00 999 1020.0  24.1  23.9  19.5 99.0 99.00
2012 01 03 22 00 323  1.9 99.0 99.00 99.00 99.00 999 1020.0  23.9  24.0  19.3 99.0 99.00
2012 01 03 23 00 325  2.6 99.0 99.00 99.00 99.00 999 1019.0  23.7  24.2  18.9 99.0 99.00
2012 01 04 00 00 331  1.9 99.0 99.00 99.00 99.00 999 1019.0  23.8  24.2  18.8 99.0 99.00
2012 01 04 01 00 351  2.8 99.0 99.00 99.00 99.00 999 1019.0  23.8  24.2  18.8 99.0 99.00
2012 01 04 02 00 357  3.7 99.0 99.00 99.00 99.00 999 1019.0  23.8  24.2  18.8 99.0 99.00
2012 01 04 03 00  12  3.3 99.0 99.00 99.00 99.00 999 1020.0  23.7  24.0  18.7 99.0 99.00
2012 01 04 04 00  38  2.7 99.0 99.00 99.00 99.00 999 1021.0  23.4  23.9  19.0 99.0 99.00
2012 01 04 05 00  54  2.9 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.9  19.2 99.0 99.00
2012 01 04 06 00  48  3.6 99.0 99.00 99.00 99.00 999 1022.0  23.3  23.9  19.7 99.0 99.00
2012 01 04 07 00  47  4.8 99.0 99.00 99.00 99.00 999 1022.0  22.9  23.8  19.9 99.0 99.00
2012 01 04 08 00  59  5.7 99.0 99.00 99.00 99.00 999 1022.0  22.8  23.8  20.2 99.0 99.00
2012 01 04 09 00  61  6.4 99.0 99.00 99.00 99.00 999 1022.0  22.6  23.7  20.0 99.0 99.00
2012 01 04 10 00  70  5.9 99.0 99.00 99.00 99.00 999 1021.0  22.5  23.7  19.9 99.0 99.00
2012 01 04 11 00  75  5.6 99.0 99.00 99.00 99.00 999 1021.0  22.6  23.7  20.0 99.0 99.00
2012 01 04 12 00  75  6.1 99.0 99.00 99.00 99.00 999 1021.0  22.6  23.7  19.8 99.0 99.00
2012 01 04 13 00  65  6.3 99.0 99.00 99.00 99.00 999 1021.0  22.4  23.6  19.5 99.0 99.00
2012 01 04 14 00  59  6.3 99.0 99.00 99.00 99.00 999 1021.0  22.4  23.6  19.3 99.0 99.00
2012 01 04 15 00  57  6.6 99.0 99.00 99.00 99.00 999 1022.0  22.5  23.6  19.4 99.0 99.00
2012 01 04 16 00  58  7.1 99.0 99.00 99.00 99.00 999 1022.0  22.6  23.6  19.6 99.0 99.00
2012 01 04 17 00  68  7.3 99.0 99.00 99.00 99.00 999 1023.0  22.5  23.6  19.7 99.0 99.00
2012 01 04 18 00  72  6.8 99.0 99.00 99.00 99.00 999 1023.0  22.6  23.6  19.5 99.0 99.00
2012 01 04 19 00  75  6.5 99.0 99.00 99.00 99.00 999 1023.0  22.8  23.7  19.9 99.0 99.00
2012 01 04 20 00  94  6.3 99.0 99.00 99.00 99.00 999 1024.0  23.3  23.7  19.9 99.0 99.00
2012 01 04 21 00  97  6.7 99.0 99.00 99.00 99.00 999 1023.0  23.4  23.7  19.2 99.0 99.00
2012 01 04 22 00  95  6.7 99.0 99.00 99.00 99.00 999 1022.0  23.3  23.7  19.2 99.0 99.00
2012 01 04 23 00  89  6.5 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.8  19.1 99.0 99.00
2012 01 05 00 00  93  6.4 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.8  19.3 99.0 99.00
2012 01 05 01 00  98  6.6 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.8  19.4 99.0 99.00
2012 01 05 02 00 103  6.5 99.0 99.00 99.00 99.00 999 1021.0  23.4  23.8  19.4 99.0 99.00
2012 01 05 03 00  99  6.2 99.0 99.00 99.00 99.00 999 1021.0  23.3  23.8  19.8 99.0 99.00
2012 01 05 04 00 108  5.6 99.0 99.00 99.00 99.00 999 1022.0  23.3  23.7  20.3 99.0 99.00
