HOE-DYLAN

botid, press, theta, sigma, temp, csal, coxy, cchl, boxy, dic, alk, phos, nit, sil, dop, don, doc, tdp, tdn, lln, llp, pc, pn, pp, psi, chl, phaeo, chlda, chlplus, perid, but19, fuco, hex19, prasino, viol, diadino, allox, lutein, zeaxan, chlb, acar, bcar, dvchla, mvchla, hplc, hbact, pbact, sbact, ebact, atp, ch4, n2o, 
#, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, ug/l, umol/kg, umol/kg, ueq/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, umol/kg, nmol/kg, nmol/kg, ug/l, ug/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, ng/l, #*1e5/ml, #*1e5/ml, #*1e5/ml, #*1e5/ml, ng/kg, nmol/kg, nmol/kg, 
0500200202,   24.2,  24.667, 23.7335,  24.672,  35.383,   209.4, -0.4383,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200201,  125.3,  20.900, 24.6686,  20.924,  35.192,   199.0, -0.4363,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200324,    6.7,  24.670, 23.7327,  24.671,  35.383,   209.7, -0.8995,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200323,    6.7,  24.670, 23.7327,  24.671,  35.383,   209.7, -0.8995,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200322,    5.7,  24.670, 23.7326,  24.671,  35.383,   209.8, -0.8995,   211.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200321,   24.9,  24.662, 23.7351,  24.667,  35.383,   209.5, -0.8993,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200320,   24.6,  24.662, 23.7351,  24.667,  35.383,   209.6, -0.8992,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200319,   24.6,  24.662, 23.7351,  24.667,  35.383,   209.6, -0.8992,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200318,   25.2,  24.662, 23.7351,  24.667,  35.383,   209.5, -0.8993,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
0500200317,   44.4,  24.658, 23.7361,  24.668,  35.383,   209.4, -0.8964,    -9.0,    -9.0,      -9,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,   -9.00,  -9.000,  -9.000,  -9.000,  -9.000,   -9.00,   -9.00,   -9.00,
